ID_1,NAME_1,ID_2,NAME_2,lat_bin,lon_bin
JJJ,Hebei,9853,Baoding,39,115.75
JJJ,Hebei,9853,Baoding,39,115.5
JJJ,Hebei,9853,Baoding,39,115.25
JJJ,Hebei,9853,Baoding,39,114.75
JJJ,Hebei,9853,Baoding,39.25,115.25
JJJ,Hebei,9853,Baoding,39.5,115.5
JJJ,Hebei,9853,Baoding,39.5,115.75
JJJ,Hebei,9853,Baoding,39,116.25
JJJ,Hebei,9853,Baoding,39.5,116
JJJ,Hebei,9854,Cangzhou,38.25,116.5
JJJ,Hebei,9854,Cangzhou,38.25,117.25
JJJ,Hebei,9854,Cangzhou,38.5,117
JJJ,Hebei,9854,Cangzhou,38.5,117.25
JJJ,Hebei,9854,Cangzhou,38.5,116
JJJ,Hebei,9854,Cangzhou,38.5,116.75
JJJ,Hebei,9854,Cangzhou,37.75,116.5
JJJ,Hebei,9854,Cangzhou,38,116.75
JJJ,Hebei,9854,Cangzhou,38,116.25
JJJ,Hebei,9854,Cangzhou,38,117
JJJ,Hebei,9854,Cangzhou,38,117.25
JJJ,Hebei,9854,Cangzhou,38.25,117.5
JJJ,Hebei,9854,Cangzhou,38.25,116.75
JJJ,Hebei,9854,Cangzhou,38.25,116
JJJ,Hebei,9854,Cangzhou,38.25,116.25
JJJ,Hebei,9855,Chengde,42.5,117.5
JJJ,Hebei,9855,Chengde,41.25,119
JJJ,Hebei,9855,Chengde,41.25,118.75
JJJ,Hebei,9855,Chengde,41.25,118
JJJ,Hebei,9855,Chengde,41.25,118.5
JJJ,Hebei,9855,Chengde,41.25,118.25
JJJ,Hebei,9855,Chengde,41.5,118.25
JJJ,Hebei,9855,Chengde,41.5,118
JJJ,Hebei,9855,Chengde,41.5,117.75
JJJ,Hebei,9855,Chengde,41.75,117.75
JJJ,Hebei,9855,Chengde,41.75,118
JJJ,Hebei,9855,Chengde,42,118
JJJ,Hebei,9855,Chengde,42,117.75
JJJ,Hebei,9855,Chengde,42,118.25
JJJ,Hebei,9855,Chengde,42.25,117.75
JJJ,Hebei,9855,Chengde,40.5,117.5
JJJ,Hebei,9855,Chengde,40.5,117.25
JJJ,Hebei,9855,Chengde,40.75,117.25
JJJ,Hebei,9855,Chengde,41,117
JJJ,Hebei,9855,Chengde,41,116.75
JJJ,Hebei,9855,Chengde,41,117.25
JJJ,Hebei,9855,Chengde,41,117.5
JJJ,Hebei,9855,Chengde,41.25,117.75
JJJ,Hebei,9855,Chengde,41.25,116.5
JJJ,Hebei,9855,Chengde,41.25,117
JJJ,Hebei,9855,Chengde,41.25,117.5
JJJ,Hebei,9855,Chengde,41.25,116.75
